time (min),area (µm²),bacterium
4564.0,1.6656639999999998,2
4565.0,1.6845919999999999,2
4566.0,1.6981119999999998,2
4567.0,1.706224,2
4569.0,1.71704,2
4570.0,1.7251519999999998,2
4571.0,1.7440799999999999,2
4572.0,1.7603039999999999,2
4573.0,1.763008,2
4574.0,1.7738239999999998,2
4575.0,1.7873439999999998,2
4576.0,1.81168,2
4577.0,1.7873439999999998,2
4578.0,1.8170879999999998,2
4579.0,1.8197919999999999,2
4580.0,1.8306079999999998,2
4581.0,1.8603519999999998,2
4582.0,1.854944,2
4583.0,1.8738719999999998,2
4584.0,1.8955039999999999,2
4585.0,1.868464,2
4586.0,1.898208,2
4587.0,1.9090239999999998,2
4588.0,1.9090239999999998,2
4589.0,1.944176,2
4590.0,1.9225439999999998,2
4591.0,1.9576959999999999,2
4592.0,1.9847359999999998,2
4593.0,1.9820319999999998,2
4594.0,1.94688,2
4595.0,1.992848,2
4596.0,1.9874399999999999,2
4597.0,2.030704,2
4598.0,2.04152,2
4599.0,2.04152,2
4600.0,2.046928,2
4601.0,2.0712639999999998,2
4602.0,2.0685599999999997,2
4603.0,2.0928959999999996,2
4604.0,2.0928959999999996,2
4605.0,2.114528,2
4606.0,2.13616,2
4607.0,2.114528,2
4608.0,2.1307519999999998,2
4609.0,2.17672,2
4610.0,2.192944,2
4611.0,2.1550879999999997,2
